,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,Area/Perimeter,Perimeter/Angle,Area/Angle,Area/FeretX,Area/FeretY,Area/FeretZ,Perimeter/FeretX,Perimeter/FeretY,Perimeter/FeretZ,Angle/FeretX,Angle/FeretY,Angle/FeretZ,TYPE
4,84,83.355,-149.744,83.355,543,696,30.256,0,83.355,1.007737988,-0.556650016,-0.560957367,0.154696133,0.120689655,2.776308831,0.153508287,0.119762931,2.754990746,-0.275771639,-0.215149425,-4.94923321,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,56,54.589,-8.427,54.589,660,432,171.573,0,54.589,1.025847698,-6.477868755,-6.645306752,0.084848485,0.12962963,0.326391682,0.082710606,0.126363426,0.318167777,-0.012768182,-0.019506944,-0.04911612,Fourth
2,19,18,-90,18,686,430,90,0,18,1.055555556,-0.2,-0.211111111,0.027696793,0.044186047,0.211111111,0.026239067,0.041860465,0.2,-0.131195335,-0.209302326,-1,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,62,61.188,-11.31,61.188,543,678,168.69,1.78E-15,61.188,1.013270576,-5.410079576,-5.481874447,0.114180479,0.091445428,0.367538088,0.112685083,0.090247788,0.362724524,-0.020828729,-0.016681416,-0.067046061,Fourth
2,25,24.187,-97.125,24.187,573,696,82.875,0,24.187,1.033613098,-0.249029601,-0.257400257,0.043630017,0.03591954,0.301659125,0.042211169,0.034751437,0.29184917,-0.169502618,-0.139547414,-1.171945701,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,59,58.138,-3.945,58.138,638,532,176.055,0,58.138,1.014826791,-14.73713561,-14.95564005,0.092476489,0.110902256,0.335122547,0.091125392,0.109281955,0.33022635,-0.006183386,-0.007415414,-0.02240777,Fourth
2,21,20,-90,20,670,524,90,0,20,1.05,-0.222222222,-0.233333333,0.031343284,0.040076336,0.233333333,0.029850746,0.038167939,0.222222222,-0.134328358,-0.171755725,-1,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,67,66.483,-15.709,66.483,622,476,164.291,0,66.483,1.007776424,-4.232159908,-4.265070978,0.107717042,0.140756303,0.407812966,0.106885852,0.139670168,0.404666111,-0.025255627,-0.033002101,-0.095616924,Fourth
2,26,25.298,-108.435,25.298,650,496,71.565,0,25.298,1.027749229,-0.233301056,-0.23977498,0.04,0.052419355,0.363306085,0.03892,0.051004032,0.353496821,-0.166823077,-0.218618952,-1.515195976,Fourth
3,56,54.589,-28.443,54.589,634,472,151.557,3.55E-15,54.589,1.025847698,-1.919241993,-1.968849981,0.088328076,0.118644068,0.369497945,0.086102524,0.115654661,0.360187916,-0.044862776,-0.060260593,-0.187671965,Fourth
4,65,64.281,-174.644,64.281,622,488,5.356,0,64.281,1.011185265,-0.368068757,-0.372185703,0.104501608,0.133196721,12.13592233,0.103345659,0.131723361,12.00168036,-0.280778135,-0.357877049,-32.60716953,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,85,84.095,2.726,84.095,654,592,2.726,0,84.095,1.010761639,30.84922964,31.1812179,0.129969419,0.143581081,31.1812179,0.128585627,0.142052365,30.84922964,0.004168196,0.00460473,1,Fourth
2,31,30.265,-82.405,30.265,694,580,97.595,0,30.265,1.024285478,-0.367271403,-0.376190765,0.044668588,0.053448276,0.317639223,0.04360951,0.052181034,0.3101081,-0.118739193,-0.142077586,-0.844356781,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,73,72.443,6.34,72.443,662,552,6.34,0,72.443,1.007688804,11.42634069,11.51419558,0.110271903,0.132246377,11.51419558,0.109430514,0.131237319,11.42634069,0.009577039,0.011485507,1,Fourth
2,29,28.284,-81.87,28.284,698,532,98.13,0,28.284,1.025314666,-0.345474533,-0.354220105,0.041547278,0.054511278,0.295526343,0.04052149,0.053165414,0.288229899,-0.117292264,-0.153890977,-0.834301437,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,69,67.676,-18.97,67.676,602,484,161.03,0,67.676,1.019563804,-3.567527675,-3.637322088,0.11461794,0.142561983,0.428491585,0.112418605,0.139826446,0.420269515,-0.031511628,-0.039194215,-0.117804136,Fourth
2,29,27.857,-111.038,27.857,624,506,68.962,0,27.857,1.04103098,-0.250878078,-0.261171851,0.046474359,0.057312253,0.420521447,0.044642628,0.05505336,0.403947101,-0.177945513,-0.219442688,-1.610133117,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,76,74.967,-9.211,74.967,576,548,170.789,0,74.967,1.013779396,-8.138855716,-8.251004234,0.131944444,0.138686131,0.44499353,0.130151042,0.136801095,0.438945131,-0.015991319,-0.016808394,-0.053932045,Fourth
2,25,24,-90,24,614,544,90,0,24,1.041666667,-0.266666667,-0.277777778,0.040716612,0.045955882,0.277777778,0.039087948,0.044117647,0.266666667,-0.146579805,-0.165441176,-1,Fourth
3,73,72.111,-19.44,72.111,576,544,160.56,3.55E-15,72.111,1.012328216,-3.70941358,-3.755144033,0.126736111,0.134191176,0.454658695,0.125192708,0.132556985,0.449121824,-0.03375,-0.035735294,-0.121076233,Fourth
4,57,56.462,-157.068,56.462,596,568,22.932,0,56.462,1.009528532,-0.359474877,-0.362900145,0.095637584,0.100352113,2.485609628,0.094734899,0.09940493,2.462148962,-0.263536913,-0.276528169,-6.849293564,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,60,58.549,7.853,58.549,618,412,7.853,0,58.549,1.024782661,7.455622055,7.640392207,0.097087379,0.145631068,7.640392207,0.094739482,0.142109223,7.455622055,0.01270712,0.01906068,1,Fourth
2,27,26.306,-81.254,26.306,646,394,98.746,0,26.306,1.026381814,-0.323750215,-0.332291333,0.041795666,0.068527919,0.273428797,0.040721362,0.066766497,0.266400664,-0.125780186,-0.206228426,-0.822858647,Fourth
3,45,44.272,-18.435,44.272,630,398,161.565,0,44.272,1.016443802,-2.40151885,-2.44100895,0.071428571,0.113065327,0.278525671,0.070273016,0.111236181,0.274019744,-0.029261905,-0.046319095,-0.114102683,Fourth
4,49,48.374,-150.255,48.374,628,418,29.745,0,48.374,1.012940836,-0.321946025,-0.326112276,0.078025478,0.11722488,1.647335687,0.077028662,0.115727273,1.626290133,-0.239259554,-0.359461722,-5.051437216,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,62,60.926,-23.199,60.926,634,356,156.801,0,60.926,1.017627942,-2.626233889,-2.672528988,0.097791798,0.174157303,0.395405642,0.096097792,0.171140449,0.388556195,-0.036591483,-0.06516573,-0.147951863,Fourth
2,28,27.203,-107.103,27.203,662,382,72.897,0,27.203,1.029298239,-0.253989151,-0.261430586,0.042296073,0.073298429,0.384103598,0.041092145,0.071212042,0.373170364,-0.161787009,-0.280374346,-1.469237417,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
