,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
1,93,91.782,-11.31,91.782,699,570,168.69,0,91.782,First,,,,,,,,,,,
2,39,38.419,-128.66,38.419,735,600,51.34,0,38.419,First,,,,,,,,,,,
3,61,60,-36.87,60,720,561,143.13,3.55E-15,60,First,,,,,,,,,,,
4,80,78.918,-171.254,78.918,702,585,8.746,0,78.918,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,85,83.57,-21.038,83.57,678,408,158.962,0,83.57,First,,,,,,,,,,,
2,33,32.311,-111.801,32.311,714,441,68.199,0,32.311,First,,,,,,,,,,,
3,80,79.202,-37.304,79.202,681,399,142.696,0,79.202,First,,,,,,,,,,,
4,82,81.498,-173.66,81.498,681,429,6.34,0,81.498,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,109,108.167,-19.44,108.167,666,501,160.56,0,108.167,First,,,,,,,,,,,
2,44,42.953,-114.775,42.953,708,540,65.225,0,42.953,First,,,,,,,,,,,
3,83,82.377,-33.111,82.377,675,495,146.889,0,82.377,First,,,,,,,,,,,
4,92,90.796,-172.405,90.796,678,522,7.595,0,90.796,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,42,41,-12.68,41,260,187,167.32,0,41,First,,,,,,,,,,,
2,16,14.56,-105.945,14.56,276,199,74.055,0,14.56,First,,,,,,,,,,,
3,30,28.844,-33.69,28.844,270,183,146.31,0,28.844,First,,,,,,,,,,,
4,209572,1834,0,649.419,0,0,138.183,433,0,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,113,112.45,-9.211,112.45,618,471,170.789,0,112.45,First,,,,,,,,,,,
2,29,28.46,-108.435,28.46,669,495,71.565,0,28.46,First,,,,,,,,,,,
3,63,61.774,-29.055,61.774,642,465,150.945,0,61.774,First,,,,,,,,,,,
4,85,84.214,-175.914,84.214,630,483,4.086,8.88E-16,84.214,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,100,99,0,99,591,444,0,0,99,First,,,,,,,,,,,
2,37,36.125,-94.764,36.125,636,465,85.236,0,36.125,First,,,,,,,,,,,
3,80,79.202,-24.624,79.202,600,429,155.376,0,79.202,First,,,,,,,,,,,
4,85,83.57,-158.962,83.57,600,459,21.038,0,83.57,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,94,93,0,93,621,591,0,0,93,First,,,,,,,,,,,
2,37,36.497,-80.538,36.497,660,573,99.462,0,36.497,First,,,,,,,,,,,
3,63,61.774,-150.945,61.774,636,609,29.055,0,61.774,First,,,,,,,,,,,
